Overall Place,Name,Number of Events,Series Points,Battle Creek Fifty K Points,Seeley Hills Classic Points,Riverview Loppet Points,Noquemanon Points,Mt. Ashwabay Summit Ski Race Points,City of Lakes Loppet Points,Vasaloppet USA Points,Finlandia Points,Pepsi Challenge Points
79,Clem Handler,1,83.56,0.0,83.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Silja Earl-Torniainen,1,82.35,82.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Norah Werner,1,82.19,0.0,82.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Liese Pfeifer,1,81.79,0.0,81.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Bethany Law,1,81.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.25
84,Ardyn Pierce,1,80.82,0.0,80.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Diane Hankee,1,80.63,0.0,0.0,0.0,0.0,0.0,80.63,0.0,0.0,0.0
86,Isabella Menk,1,79.45,0.0,79.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Kristin Burger,1,78.75,0.0,78.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Angie Kell,1,78.32,0.0,0.0,0.0,0.0,0.0,78.32,0.0,0.0,0.0
89,Sara Fabel,1,77.23,0.0,77.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Isabel Renn,1,76.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.92,0.0
91,Sofia Omann,3,75.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0
92,Emily Fischer,3,75.0,0.0,20.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0
93,Caroline White,3,75.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0
94,Kelly Skillicorn,1,74.14,0.0,0.0,0.0,74.14,0.0,0.0,0.0,0.0,0.0
95,Sarah Downey,1,73.68,0.0,0.0,0.0,0.0,0.0,73.68,0.0,0.0,0.0
96,Marin Patnode,1,72.6,0.0,72.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Shelby Suhr,1,71.43,0.0,0.0,0.0,71.43,0.0,0.0,0.0,0.0,0.0
98,Emily Hillmer,1,71.05,0.0,0.0,0.0,0.0,0.0,71.05,0.0,0.0,0.0
99,Annika Ferber Pasch,1,70.59,70.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Jill Troutner,1,70.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.54,0.0
101,Elizabeth Tabor,1,70.49,0.0,70.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Abigael Delaney,1,69.74,0.0,0.0,0.0,0.0,0.0,69.74,0.0,0.0,0.0
103,Arika Harmsen,1,69.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.23,0.0
104,Jennifer Huelsmann,1,68.53,0.0,68.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Bonnie Weiskopf,1,68.52,0.0,0.0,0.0,0.0,68.52,0.0,0.0,0.0,0.0
106,Kelly Trewartha,1,68.42,0.0,68.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Allison Pierce,1,67.38,0.0,67.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Ana Zembryki,1,67.12,0.0,67.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Jenni Ives,1,67.11,0.0,0.0,0.0,0.0,0.0,67.11,0.0,0.0,0.0
110,Megan Deisz,1,66.47,0.0,0.0,0.0,0.0,0.0,66.47,0.0,0.0,0.0
111,Hanna Saveraid,2,66.05,0.0,0.0,0.0,0.0,0.0,46.05,20.0,0.0,0.0
112,Sheri Schrock,2,66.0,0.0,0.0,0.0,0.0,0.0,46.0,20.0,0.0,0.0
113,Brita Mowers,1,65.79,0.0,0.0,0.0,0.0,0.0,65.79,0.0,0.0,0.0
114,Sara Zimmermann-White,1,65.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0
