Name,Overall Place,Number of Events,Skadi's Chase Points,First Chance Points,City of Lakes Loppet Points,Total Points
John Lyrenmann,175,1,0.0,0.0,55.02,55.02
Peter Daniels,176,1,0.0,0.0,54.82,54.82
Brent Kudak,177,1,0.0,0.0,54.62,54.62
Bob Thompson,178,1,54.58,0.0,0.0,54.58
Eric Hedman,179,1,0.0,0.0,54.39,54.39
Craig Stolen,180,1,53.77,0.0,0.0,53.77
Michael Noble,181,1,0.0,0.0,53.5,53.5
Erik Pieh,182,1,53.23,0.0,0.0,53.23
Ryan Miller,183,1,0.0,0.0,53.01,53.01
Luke Jacobsen,184,1,0.0,0.0,52.61,52.61
Martin Thorstensson,185,2,26.0,0.0,26.5,52.5
Isaac Accola,186,1,52.42,0.0,0.0,52.42
Laithen Allen,187,1,0.0,52.0,0.0,52.0
Jonathan Rink,188,1,51.61,0.0,0.0,51.61
David Hutcheson,189,1,0.0,0.0,51.18,51.18
Tom Settle,190,1,0.0,0.0,51.0,51.0
Bill McKinney,191,1,0.0,0.0,50.87,50.87
Robert Marks-Kerst,192,1,0.0,0.0,50.78,50.78
Brian Bell,193,1,0.0,0.0,50.67,50.67
Isaac Hoagland,194,1,0.0,0.0,50.6,50.6
Michael Miller,195,1,50.21,0.0,0.0,50.21
Eric Lubar,196,1,0.0,0.0,50.2,50.2
Joe Surla,197,1,0.0,0.0,50.09,50.09
Nathan Mueggenberg,198,1,50.0,0.0,0.0,50.0
Ryan Scholz,199,1,0.0,0.0,49.59,49.59
Matthew Nolan,200,1,0.0,0.0,49.4,49.4
Timothy Bontrager,201,1,49.19,0.0,0.0,49.19
Nathaniel Kreykes,202,2,24.5,0.0,24.5,49.0
Jey Carlson,203,1,0.0,0.0,48.66,48.66
Zethan Schultz,204,1,48.39,0.0,0.0,48.39
Grady Kerr,205,1,0.0,48.0,0.0,48.0
Chris Burg,206,1,0.0,0.0,47.97,47.97
Streeter Vars,207,1,0.0,0.0,46.99,46.99
Charles Griffiths,208,1,0.0,0.0,46.95,46.95
Nicholas Phillips,209,1,0.0,0.0,45.78,45.78
David Nagel,210,1,45.16,0.0,0.0,45.16
James Gleckner,211,1,0.0,0.0,44.98,44.98
Michael Waltman,212,1,0.0,0.0,44.58,44.58
Landon Brodersen,213,1,44.35,0.0,0.0,44.35
Garrett Williams,214,1,43.55,0.0,0.0,43.55
Corey Bergad,215,1,0.0,0.0,43.07,43.07
Ethan Hennessey,216,1,42.74,0.0,0.0,42.74
Jacob Kjome,217,1,42.6,0.0,0.0,42.6
Chuck Flanders,218,1,0.0,42.0,0.0,42.0
Kyle McBride,219,1,41.94,0.0,0.0,41.94
James Bischoff,220,1,0.0,0.0,41.77,41.77
Mitch Vars,221,1,0.0,0.0,41.54,41.54
David Byrne,222,1,0.0,0.0,41.51,41.51
Jacob Schueller,223,1,0.0,0.0,41.37,41.37
Benjamin Sonquist,224,1,0.0,0.0,41.26,41.26
Tristan Van De Moortele,225,1,41.13,0.0,0.0,41.13
Jeffrey Glass,226,2,20.5,0.0,20.5,41.0
Odd Osland,227,1,41.0,0.0,0.0,41.0
Joel Newman,228,1,0.0,0.0,40.96,40.96
Sean Larsen,229,1,0.0,0.0,40.56,40.56
Joel Paulson,230,1,0.0,40.5,0.0,40.5
Timothy Kohls,231,1,0.0,0.0,40.34,40.34
Ben Swanson-Hysell,232,1,40.32,0.0,0.0,40.32
Casey Dickinson,233,1,0.0,0.0,38.96,38.96
Cameron Williams,234,1,0.0,0.0,38.64,38.64
Greg Klave,235,1,0.0,0.0,38.6,38.6
Kyle Krause,236,1,0.0,0.0,38.55,38.55
Sam Schulze,237,1,37.9,0.0,0.0,37.9
Jack Distel,238,1,0.0,0.0,37.75,37.75
Levi Severson,239,1,36.98,0.0,0.0,36.98
Tom Novacheck,240,1,0.0,0.0,36.9,36.9
Kevin Kos,241,1,0.0,0.0,36.72,36.72
Geir Johansen,242,1,0.0,0.0,36.7,36.7
Kyle Gamoke,243,1,0.0,0.0,36.55,36.55
Bill Stuber,244,1,0.0,0.0,36.5,36.5
Nate Edel,245,1,0.0,0.0,36.43,36.43
Peter Enz,246,1,36.29,0.0,0.0,36.29
Michael Sandstedt,247,1,0.0,0.0,36.24,36.24
James Miner,248,1,0.0,0.0,35.92,35.92
Ray Fini,249,1,0.0,0.0,35.62,35.62
Michael Bono,250,1,0.0,0.0,35.5,35.5
Gregory Pratt,251,1,0.0,0.0,35.5,35.5
Scott Lindfors,252,1,0.0,0.0,35.33,35.33
Scott Sponheim,253,1,0.0,0.0,35.3,35.3
Alan Witebsky,254,1,0.0,0.0,35.0,35.0
Gary Krupp,255,1,35.0,0.0,0.0,35.0
Tyler Lindquist,256,1,0.0,0.0,34.94,34.94
Ryan Poppinga,257,1,0.0,0.0,34.52,34.52
Kent York,258,1,0.0,0.0,34.5,34.5
Michael Herriges,259,1,0.0,0.0,34.14,34.14
John Daniels,260,1,0.0,0.0,34.0,34.0
