Name,Overall Place,Number of Events,Skadi's Chase Points,Hiihto Relay Points,First Chance Points,LL Challenge Points,Mount Ashwabay Points,City of Lakes Loppet Points,Vasaloppet Points,Pepsi Challenge Points,Ski North Ultra Points,Series Points
Craig Estenson,124,2,0.0,0.0,0.0,0.0,0.0,84.94,20.0,0.0,0.0,104.94
Kent York,125,2,0.0,0.0,0.0,0.0,0.0,45.0,59.53,0.0,0.0,104.53
Eli Rassler,126,2,0.0,0.0,0.0,0.0,83.33,0.0,20.0,0.0,0.0,103.33
Tim McGann,127,2,0.0,0.0,0.0,49.19,0.0,52.93,0.0,0.0,0.0,102.12
Travis Hinck,128,2,0.0,0.0,0.0,0.0,0.0,81.3,0.0,20.0,0.0,101.3
Alan Witebsky,129,3,0.0,0.0,0.0,46.0,0.0,20.0,0.0,20.0,0.0,101.0
Ryan Sederquist,130,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,80.49,100.49
Nathan Porath,131,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
Matt Liebsch,132,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Jay Adams,133,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
Conor McGovern,134,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
Randy Shelerud,135,2,0.0,0.0,0.0,0.0,0.0,79.83,20.0,0.0,0.0,99.83
Henry Snider,136,1,0.0,0.0,0.0,0.0,0.0,99.62,0.0,0.0,0.0,99.62
Anthony Bramante,137,2,0.0,0.0,0.0,78.7,0.0,0.0,0.0,20.0,0.0,98.7
Matt Delaney,138,2,0.0,0.0,0.0,0.0,0.0,78.24,20.0,0.0,0.0,98.24
Finn Dodgson,139,1,0.0,0.0,0.0,0.0,0.0,97.33,0.0,0.0,0.0,97.33
Kai Ludwig,140,2,75.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,95.0
John Rock,141,2,38.96,0.0,56.03,0.0,0.0,0.0,0.0,0.0,0.0,94.98
Alexander Reich,142,1,94.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.79
James Kyes,143,1,0.0,0.0,0.0,0.0,0.0,0.0,94.74,0.0,0.0,94.74
Michael Symanski,144,1,0.0,0.0,0.0,0.0,0.0,93.51,0.0,0.0,0.0,93.51
Daniel Copperud,145,2,0.0,0.0,0.0,39.81,0.0,52.67,0.0,0.0,0.0,92.49
Brycen Kryzer,146,2,0.0,0.0,0.0,0.0,0.0,0.0,72.37,20.0,0.0,92.37
Brennen Schulz,147,1,0.0,0.0,0.0,0.0,0.0,91.98,0.0,0.0,0.0,91.98
Kendall Hill,148,2,71.88,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,91.88
Trey Bosworth,149,1,0.0,0.0,0.0,91.67,0.0,0.0,0.0,0.0,0.0,91.67
Ben Creagh,150,1,0.0,0.0,0.0,0.0,0.0,90.84,0.0,0.0,0.0,90.84
Glenn Schultes,151,1,0.0,0.0,0.0,0.0,0.0,0.0,90.45,0.0,0.0,90.45
Dalton Struck,152,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.24,90.24
Abe Peterson,153,1,0.0,89.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.47
Nicholas Evans,154,2,0.0,0.0,0.0,69.44,0.0,0.0,20.0,0.0,0.0,89.44
Peter Hanson,155,1,0.0,0.0,0.0,0.0,0.0,88.81,0.0,0.0,0.0,88.81
Hjalte Paaske,156,2,0.0,0.0,0.0,0.0,0.0,68.7,20.0,0.0,0.0,88.7
Daniel Dylla,157,2,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,68.29,88.29
Theodore Beebe,158,1,0.0,0.0,0.0,0.0,0.0,88.17,0.0,0.0,0.0,88.17
Douglas Scott,159,2,67.71,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,87.71
Aiden Regan,160,2,0.0,0.0,0.0,0.0,0.0,67.56,20.0,0.0,0.0,87.56
Jonathan Schupp,161,2,0.0,0.0,0.0,0.0,0.0,67.37,20.0,0.0,0.0,87.37
